shanghai2 上海 SHA
beijing1 北京 BJS
qingdao7 青岛 TAO
haerbin5 哈尔滨 HRB
changsha206 长沙 CSX
shenyang451 沈阳 SHE
fuzhou258 福州 FOC
tianjin3 天津 TSN
nanchang376 南昌 KHN
taiyuan105 太原 TYN
lijiang37 丽江 LJG
changchun158 长春 CGQ
jinan144 济南 TNA
sanya43 三亚 SYX
wuhan477 武汉 WUH
haikou42 海口 HAK
guangzhou32 广州 CAN
nanning380 南宁 NNG
guiyang38 贵阳 KWE
zhengzhou559 郑州 CGO
kunming34 昆明 KMG
xian10 西安 SIA
chengdu28 成都 CTU
shenzhen30 深圳 SZX
xiamen25 厦门 XMN
wulumuqi39 乌鲁木齐 URC
nanjing12 南京 NKG
chongqing4 重庆 CKG
hangzhou17 杭州 HGH
dalian6 大连 DLC
